y,sunlight is silence,concrete,abstract,false,false,false,
y,feet are anchor,abstract,concrete,false,false,false,
y,horizon is gesture,concrete,abstract,false,false,false,
n,good-by is number,abstract,abstract,true,false,false,
y,eyes be lakes,abstract,concrete,false,false,false,
y,world were taxi,concrete,concrete,true,false,false,
n,poet is man,concrete,concrete,true,true,true,
y,man is animal,concrete,concrete,true,true,false,
n,name is james,abstract,concrete,false,false,false,
y,earth is door,concrete,concrete,true,false,false,
y,neck are fear,concrete,abstract,false,false,false,
y,moon is sow,concrete,concrete,true,false,false,
n,earth is birth,concrete,abstract,false,false,true,
n,one is simple,abstract,concrete,false,false,false,
n,nature is humanity,abstract,abstract,true,true,false,
n,love is word,abstract,abstract,true,false,false,
n,goodbye is promise,abstract,abstract,true,false,false,
n,body is afterimage,concrete,abstract,false,false,false,
y,eyes are caves,abstract,concrete,false,false,false,
n,sky is baby,concrete,concrete,true,false,false,
n,road is somebody,concrete,concrete,true,false,false,
n,life was strain,abstract,abstract,true,false,false,
n,haggard is ryder,concrete,,false,false,false,
y,mind is city,abstract,concrete,false,false,false,
n,others were despots,,,true,false,false,
n,humor was necessity,abstract,abstract,true,false,false,
n,name is time,abstract,abstract,true,false,true,
y,name is death,abstract,abstract,true,false,true,
n,hamlet is example,abstract,abstract,true,false,false,
y,sun is yellowjacket,concrete,,false,false,false,
n,love is fiction,abstract,abstract,true,false,false,
n,people are home,abstract,concrete,false,false,true,
y,life is invocation,abstract,abstract,true,false,false,
y,darkness is spring,abstract,abstract,true,false,false,
y,trees are crystal,concrete,concrete,true,false,false,
y,branches are wire,abstract,concrete,false,false,false,
y,deer are ghosts,concrete,abstract,false,false,false,
n,cemetery was sheet,concrete,abstract,false,false,false,
n,spades are spades,concrete,concrete,true,true,true,
n,clubs are clovers,abstract,concrete,false,false,false,
n,books is slate-blue,concrete,,false,false,false,
y,talisman is phoenix,concrete,concrete,true,false,false,
y,emblem is rock,concrete,concrete,true,false,false,
y,machines are animals,concrete,concrete,true,false,false,
y,man is speech,concrete,abstract,false,false,false,
n,books were trees,concrete,concrete,true,false,true,
n,trees were books,concrete,concrete,true,false,true,
n,underwear is something,concrete,concrete,true,false,false,
n,henry was man,abstract,concrete,false,false,false,
n,man is nothing,concrete,abstract,false,false,false,
y,words are weight,abstract,abstract,true,false,false,
y,vapor was ocean,concrete,concrete,true,false,true,
n,use are books,abstract,concrete,false,false,true,
n,god is size,abstract,abstract,true,false,false,
y,night is man,abstract,concrete,false,false,false,
n,joy is pain,abstract,abstract,true,false,true,
y,sun is bonnet,concrete,concrete,true,false,false,
y,afternoon was colour,abstract,concrete,false,false,false,
n,hills is kind,concrete,abstract,false,false,false,
