@relation type1metaphor

@attribute sentence string
@attribute classNoun1 {concrete,abstract}
@attribute classNoun2 {concrete,abstract}
@attribute classOverlap {false,true}
@attribute overlap {false,true}
@attribute conceptOverlap {false,true}
@attribute similarity REAL
@attribute metaphor {y,n}

@data
'sunlight is silence',concrete,abstract,false,false,false,0.140172879792,y
'feet are anchor',abstract,concrete,false,false,false,0.315372489226,y
'good-by is number',abstract,abstract,true,false,false,?,n
'eyes be lakes',abstract,concrete,false,false,false,0.004499558151,y
'world were taxi',concrete,concrete,true,false,false,0.0172229065448,y
'poet is man',concrete,concrete,true,true,true,0.268850832626,n
'man is animal',concrete,concrete,true,true,false,0.232853710541,y
'name is james',abstract,concrete,false,false,false,0.082873057975,n
'earth is door',concrete,concrete,true,false,false,0.0405372275596,y
'hackles are fear',abstract,abstract,true,true,false,0.32980627275,y
'moon is sow',concrete,concrete,true,false,false,0.135465029163,n
'earth is birth',concrete,abstract,false,false,true,0.117687855101,n
'one is is',abstract,?,false,false,false,?,n
'love is word',abstract,abstract,true,false,false,0.178326535391,n
'goodbye is promise',abstract,abstract,true,false,false,0.3361454554,n
'body is afterimage',concrete,abstract,false,false,false,?,y
'eyes are caves',abstract,concrete,false,false,false,0.0938149512084,y
'sky is blue',concrete,abstract,false,false,true,0.577742444511,n
'life was strain',abstract,abstract,true,false,false,0.122343490763,n
'haggard is brother',concrete,concrete,true,true,false,0.079729009269,n
'mind is city',abstract,concrete,false,false,false,0.0711809522936,y
'others were despots',?,?,true,false,false,?,n
'sense was necessity',abstract,abstract,true,false,false,0.427167470294,n
'name is time',abstract,abstract,true,false,true,?,n
'name is death',abstract,abstract,true,false,true,0.186085269775,y
'hamlet is example',abstract,abstract,true,false,false,0.0610010351417,n
'sun is yellowjacket',concrete,?,false,false,false,?,y
'love is fiction',abstract,abstract,true,false,false,0.258424640022,n
'people are home',abstract,concrete,false,false,true,0.179623070369,n
'life is invocation',abstract,abstract,true,false,false,0.0200532597225,y
'darkness is hour',abstract,abstract,true,false,false,0.280964710613,y
'trees are chandeliers',concrete,concrete,true,false,false,0.179970299862,y
'branches are wire',abstract,concrete,false,false,false,0.213175406004,y
'deer are ghosts',concrete,abstract,false,false,false,0.321519208426,y
'spades are spades',concrete,concrete,true,true,true,1.0,n
'clubs are clovers',abstract,concrete,false,false,false,0.0336648807763,n
'monk-copyist is slate-blue',?,?,true,false,false,?,n
'talisman is phoenix',concrete,concrete,true,false,false,0.185454095963,y
'emblem is rock',concrete,concrete,true,false,false,0.13346812169,n
'machines are animals',concrete,concrete,true,false,false,0.137673841889,y
'books were trees',concrete,concrete,true,false,true,-0.0523156768446,n
'trees were books',concrete,concrete,true,false,true,-0.0523156768446,n
'underwear is something',concrete,concrete,true,false,false,?,n
'henry was man',abstract,concrete,false,false,false,0.106464477077,n
'man is nothing',concrete,abstract,false,false,false,?,n
'words are weight',abstract,abstract,true,false,false,0.211248881529,y
'books are are',concrete,abstract,false,false,false,?,n
'god is size',abstract,abstract,true,false,false,-0.065672915174,n
'night is castle',abstract,concrete,false,false,false,0.150980963146,y
'sun is bonnet',concrete,concrete,true,false,false,0.159878365893,y
'afternoon was colour',abstract,concrete,false,false,false,-0.0155441912908,y
'world is dream',concrete,abstract,false,false,false,0.267589181324,y
'rich are dreamers',abstract,concrete,false,false,false,0.301309496923,n
'mouth is water',concrete,concrete,true,false,false,0.229056287394,n
'mind is blanket',abstract,concrete,false,false,false,0.111655939836,y
'nighttime are mirage',abstract,concrete,false,false,false,0.18299004846,n
'earth is divinity',concrete,abstract,false,false,false,0.155997490042,n
